country,battingPos,BATTING,dismissal,R,B,4s,6s,SR,match id
South Africa,6,David Miller,not out ,39,21,3,2,185.71,ODI # 4661
South Africa,7,Marco Jansen,not out ,12,7,0,1,171.42,ODI # 4661
Sri Lanka,1,Pathum Nissanka,out,0,3,0,0,0.00,ODI # 4661
Sri Lanka,2,Kusal Perera,out,7,15,1,0,46.66,ODI # 4661
Sri Lanka,3,Kusal Mendis,out,76,42,4,8,180.95,ODI # 4661
Sri Lanka,4,Sadeera Samarawickrama,out,23,19,3,1,121.05,ODI # 4661
Sri Lanka,5,Charith Asalanka,out,79,65,8,4,121.53,ODI # 4661
Sri Lanka,6,Dhananjaya de Silva,out,11,14,1,0,78.57,ODI # 4661
Sri Lanka,7,Dasun Shanaka(c),out,68,62,6,3,109.67,ODI # 4661
Sri Lanka,8,Dunith Wellalage,out,0,1,0,0,0.00,ODI # 4661
Sri Lanka,9,Kasun Rajitha,out,33,31,4,1,106.45,ODI # 4661
Sri Lanka,10,Matheesha Pathirana,out,5,16,1,0,31.25,ODI # 4661
Sri Lanka,11,Dilshan Madushanka,not out ,4,2,1,0,200.00,ODI # 4661
Australia,1,David Warner,out,41,52,6,0,78.84,ODI # 4662
Australia,2,Mitchell Marsh,out,0,6,0,0,0.00,ODI # 4662
Australia,3,Steven Smith,out,46,71,5,0,64.78,ODI # 4662
Australia,4,Marnus Labuschagne,out,27,41,1,0,65.85,ODI # 4662
Australia,5,Glenn Maxwell,out,15,25,1,0,60.00,ODI # 4662
Australia,6,Alex Carey,out,0,2,0,0,0.00,ODI # 4662
Australia,7,Cameron Green,out,8,20,0,0,40.00,ODI # 4662
Australia,8,Pat Cummins(c),out,15,24,1,1,62.50,ODI # 4662
Australia,9,Mitchell Starc,out,28,35,2,1,80.00,ODI # 4662
Australia,10,Adam Zampa,out,6,20,0,0,30.00,ODI # 4662
Australia,11,Josh Hazlewood,not out ,1,1,0,0,100.00,ODI # 4662
India,1,Rohit Sharma(c),out,0,6,0,0,0.00,ODI # 4662
India,2,Ishan Kishan,out,0,1,0,0,0.00,ODI # 4662
India,3,Virat Kohli,out,85,116,6,0,73.27,ODI # 4662
India,4,Shreyas Iyer,out,0,3,0,0,0.00,ODI # 4662
India,5,KL Rahul,not out ,97,115,8,2,84.34,ODI # 4662
India,6,Hardik Pandya,not out ,11,8,0,1,137.50,ODI # 4662
New Zealand,1,Devon Conway,out,32,40,5,1,80.00,ODI # 4663
New Zealand,2,Will Young,out,70,80,7,2,87.50,ODI # 4663
New Zealand,3,Rachin Ravindra,out,51,51,3,1,100.00,ODI # 4663
New Zealand,4,Daryl Mitchell,out,48,47,5,2,102.12,ODI # 4663
New Zealand,5,Tom Latham(c),out,53,46,6,1,115.21,ODI # 4663
New Zealand,6,Glenn Phillips,out,4,4,1,0,100.00,ODI # 4663
New Zealand,7,Mark Chapman,out,5,13,0,0,38.46,ODI # 4663
New Zealand,8,Mitchell Santner,not out ,36,17,3,2,211.76,ODI # 4663
New Zealand,9,Matt Henry,not out ,10,4,0,1,250.00,ODI # 4663
Netherlands,1,Vikramjit Singh,out,12,20,1,0,60.00,ODI # 4663
Netherlands,2,Max O'Dowd,out,16,31,2,0,51.61,ODI # 4663
Netherlands,3,Colin Ackermann,out,69,73,5,0,94.52,ODI # 4663
Netherlands,4,Bas de Leede,out,18,25,3,0,72.00,ODI # 4663
Netherlands,5,Teja Nidamanuru,out,21,26,2,1,80.76,ODI # 4663
Netherlands,6,Scott Edwards(c),out,30,27,2,1,111.11,ODI # 4663
Netherlands,7,Sybrand Engelbrecht,out,29,34,3,0,85.29,ODI # 4663
Netherlands,8,Roelof van der Merwe,out,1,6,0,0,16.66,ODI # 4663
Netherlands,9,Ryan Klein,out,8,15,0,0,53.33,ODI # 4663
Netherlands,10,Aryan Dutt,out,11,20,0,1,55.00,ODI # 4663
Netherlands,11,Paul van Meekeren,not out ,4,3,1,0,133.33,ODI # 4663
England,1,Jonny Bairstow,out,52,59,8,0,88.13,ODI # 4664
England,2,Dawid Malan,out,140,107,16,5,130.84,ODI # 4664
England,3,Joe Root,out,82,68,8,1,120.58,ODI # 4664
England,4,Jos Buttler(c),out,20,10,1,1,200.00,ODI # 4664
England,5,Harry Brook,out,20,15,3,0,133.33,ODI # 4664
England,6,Liam Livingstone,out,0,1,0,0,0.00,ODI # 4664
England,7,Sam Curran,out,11,15,1,0,73.33,ODI # 4664
England,8,Chris Woakes,out,14,11,2,0,127.27,ODI # 4664
England,9,Adil Rashid,out,11,7,1,0,157.14,ODI # 4664
England,10,Mark Wood,not out ,6,5,1,0,120.00,ODI # 4664
England,11,Reece Topley,not out ,1,2,0,0,50.00,ODI # 4664
Bangladesh,1,Litton Das,out,76,66,7,2,115.15,ODI # 4664
Bangladesh,2,Tanzid Hasan,out,1,2,0,0,50.00,ODI # 4664
Bangladesh,3,Najmul Hossain Shanto,out,0,1,0,0,0.00,ODI # 4664
Bangladesh,4,Shakib Al Hasan(c),out,1,9,0,0,11.11,ODI # 4664
Bangladesh,5,Mehidy Hasan Miraz,out,8,7,1,0,114.28,ODI # 4664
Bangladesh,6,Mushfiqur Rahim,out,51,64,4,0,79.68,ODI # 4664
Bangladesh,7,Towhid Hridoy,out,39,61,2,0,63.93,ODI # 4664
Bangladesh,8,Mahedi Hasan,out,14,32,1,0,43.75,ODI # 4664
Bangladesh,9,Taskin Ahmed,out,15,25,0,1,60.00,ODI # 4664
Bangladesh,10,Shoriful Islam,out,12,14,2,0,85.71,ODI # 4664
Bangladesh,11,Mustafizur Rahman,not out ,3,9,0,0,33.33,ODI # 4664
Sri Lanka,1,Pathum Nissanka,out,51,61,7,1,83.60,ODI # 4665
Sri Lanka,2,Kusal Perera,out,0,4,0,0,0.00,ODI # 4665
Sri Lanka,3,Kusal Mendis,out,122,77,14,6,158.44,ODI # 4665
Sri Lanka,4,Sadeera Samarawickrama,out,108,89,11,2,121.34,ODI # 4665
Sri Lanka,5,Charith Asalanka,out,1,3,0,0,33.33,ODI # 4665
Sri Lanka,6,Dhananjaya de Silva,out,25,34,3,0,73.52,ODI # 4665
Sri Lanka,7,Dasun Shanaka(c),out,12,18,0,0,66.66,ODI # 4665
Sri Lanka,8,Dunith Wellalage,out,10,8,1,0,125.00,ODI # 4665
Sri Lanka,9,Maheesh Theekshana,out,0,4,0,0,0.00,ODI # 4665
Sri Lanka,10,Matheesha Pathirana,not out ,1,3,0,0,33.33,ODI # 4665
Pakistan,1,Abdullah Shafique,out,113,103,10,3,109.70,ODI # 4665
Pakistan,2,Imam-ul-Haq,out,12,12,1,0,100.00,ODI # 4665
Pakistan,3,Babar Azam(c),out,10,15,1,0,66.66,ODI # 4665
Pakistan,4,Mohammad Rizwan,not out ,131,121,8,3,108.26,ODI # 4665
Pakistan,5,Saud Shakeel,out,31,30,2,0,103.33,ODI # 4665
Pakistan,6,Iftikhar Ahmed,not out ,22,10,4,0,220.00,ODI # 4665
Afghanistan,1,Rahmanullah Gurbaz,out,21,28,3,1,75.00,ODI # 4666
